Q,A,QE,AE
Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,Oh.  Totally.,neu,hap
"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],xxx,hap
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],Like you need another one of those.[LAUGHTER],hap,hap
I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,Is that your phone?,xxx,hap
Is that your phone?,"Yeah, so [LAUGHTER] He's calling me now",hap,hap
"Yeah, so [LAUGHTER] He's calling me now",He loves you.,hap,hap
He loves you.,"He likes to keep tabs, you know.",hap,hap
"He likes to keep tabs, you know.",How much did he win at the slot?,hap,neu
How much did he win at the slot?,"Uh, I think seven hundred and fifty dollars.",neu,neu
"Uh, I think seven hundred and fifty dollars.",Really? Penny slots?,neu,sur
Really? Penny slots?,Penny slots. That's what he plays.,sur,neu
Penny slots. That's what he plays.,Wow.,neu,sur
Wow.,Yeah.,sur,neu
Yeah.,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neu,neu
Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,"But the pennies always get you because you end up spending like, you know, fifty bucks.",hap,neu
"But the pennies always get you because you end up spending like, you know, fifty bucks.",Fifty bucks. Mmhmm.,neu,neu
Fifty bucks. Mmhmm.,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neu,neu
"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",Yeah.,neu,neu
Well so now we're married. We have cat children.,Awesome.,hap,hap
[LAUGHTER] Cat babies.,"We renamed Brenda, Lumber Janet.",hap,hap
"We renamed Brenda, Lumber Janet.",That's fair enough.,hap,neu
That's fair enough.,She needs a new name each state that we go into. [LAUGHTER],neu,hap
"Have you tried, uh, Craig's List?","Uh, what?  Craig's List?  Oh the internet thing?",neu,neu
"Uh, what?  Craig's List?  Oh the internet thing?",Yeah.,neu,neu
Yeah.,I don't know.  Isn't that-- that's all like escort services and things like that.,neu,neu
I don't know.  Isn't that-- that's all like escort services and things like that.,No.  There's regular jobs on there.,neu,neu
No.  There's regular jobs on there.,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",neu,fru
"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",Uh huh.,fru,neu
What kind of a job?,He's like a manager for a theatre.,xxx,neu
Really?,He's like a house manager. Yeah.  It's a good job.,xxx,neu
He's like a house manager. Yeah.  It's a good job.,He just...,neu,neu
you know what?  I heard about that job.  I applied for that.,You did?,neu,neu
You did?,Yeah.  I saw a posting at the theatre.,neu,fru
Yeah.  I saw a posting at the theatre.,Yeah.,fru,neu
He got it?,You've been looking for a job for a long time; that was a long time ago.  Right?,xxx,neu
You've been looking for a job for a long time; that was a long time ago.  Right?,Yeah.,neu,neu
Yeah.,Hmm.,neu,neu
What did he do?  What was so great?  I don't understand why they would pick him over me.,I don't know.  He had a really good resume I guess and--,xxx,neu
A resume?,Yeah.  Do you have a resume?,xxx,neu
No.,It's kind of helpful when getting a job.,xxx,neu
It's kind of helpful when getting a job.,I just- I mean I call people up and I tell them what I'm good at.,neu,neu
I just- I mean I call people up and I tell them what I'm good at.,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu,neu
Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,Yeah.,neu,neu
I don't like- I don't like sending things in the mail.  I don't want my information out there.,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",xxx,neu
"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",I'm there in front of them.  I'm telling them what I'm good at.,neu,fru
I'm there in front of them.  I'm telling them what I'm good at.,"Yeah.  But the piece of paper helps, too.",fru,neu
"Yeah.  But the piece of paper helps, too.",Why?  It's a piece of paper.,neu,fru
Why?  It's a piece of paper.,"No.  But it has an outline, you know.",fru,neu
"No.  But it has an outline, you know.","I just don't want this paper trail, you know.  I just don't want things following me around, like-.",neu,fru
"I just don't want this paper trail, you know.  I just don't want things following me around, like-.","I know.  Okay.  Well, um. Maybe--",fru,neu
"I know.  Okay.  Well, um. Maybe--","It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",neu,fru
"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",Yeah.,fru,neu
..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",xxx,neu
"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.","That's baloney, that's baloney.",neu,fru
Please.,maybe get a car.,fru,neu
"I just, you know, think you should try a little harder maybe.",you think that you're better than me because I don't have a car?,neu,fru
you think that you're better than me because I don't have a car?,I didn't say that.,fru,neu
I didn't say that.,"You know, you're riding the bus, too.",neu,fru
"You know, you're riding the bus, too.","I am riding the bus, but by choice.",fru,neu
"I am riding the bus, but by choice.",Why?  What choice?,neu,fru
Why?  What choice?,"To save the environment, carpool.",fru,neu
"To save the environment, carpool.",You're saving the environment. mmhmm,neu,fru
You're saving the environment. mmhmm,Yes.  One less car at a time.,fru,neu
Yes.  One less car at a time.,Interesting.  That's fantastic.,neu,fru
Interesting.  That's fantastic.,Mmhmm.,fru,neu
"You know, you don't have to take out your frustration on me, you know, just because...",I'm not frustrated.,fru,ang
I'm not frustrated.,...you can't get a job and refuse to have a resume.,ang,fru
...you can't get a job and refuse to have a resume.,Who do you think you are?,fru,ang
Who do you think you are?,I don't think I'm anyone.,ang,neu
I don't think I'm anyone.,You are so high and mighty.  I just--,neu,ang
You are so high and mighty.  I just--,I- I-I didn't-- okay.,ang,neu
I- I-I didn't-- okay.,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,neu,ang
What? Oh.  So now you're...,"The bus, I'm riding the bus because I want to.",fru,ang
"The bus, I'm riding the bus because I want to.",you know what?  You don't have to take your anger and your hurt out on me.,ang,fru
you know what?  You don't have to take your anger and your hurt out on me.,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,fru,ang
Hi.,Hi.  Thanks for waiting.,fru,neu
Hi.  Thanks for waiting.,Yeah. This is the fourth line that I have been in.,neu,fru
Yeah. This is the fourth line that I have been in.,Can I help you?,fru,hap
Uh huh.,I need my bag.,hap,fru
I need my bag.,Okay.,fru,neu
Okay.,"I flew in over three hours ago, I've been in four different lines.",neu,fru
"I flew in over three hours ago, I've been in four different lines.",Okay.,fru,neu
Okay.,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,neu,fru
I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,fru,neu
Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,Nash.,neu,fru
Nash.,Okay.,fru,neu
No G.,all right- okay.  And you lost your bag? Is that- that the issue?,xxx,neu
all right- okay.  And you lost your bag? Is that- that the issue?,Yes.,neu,fru
Flight seven fourteen.,Uh-huh.,ang,neu
Uh-huh.,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",neu,ang
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?","Yeah. Yeah, I don't see- I don't see any--",ang,neu
"Oh, Are you kidding me?","for such an inconvenience and your bag, but",xxx,neu
"for such an inconvenience and your bag, but",Is this a joke?,neu,ang
Is this a joke?,Yeah.,ang,neu
"No, no.","Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",neu,ang
"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.","No, no.  This is real.",ang,neu
So you'll give me money and then I'll get my bag?,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",xxx,neu
this is the only track record that we have and if it's not listed here then it's probably not anywhere.,"You're kidding me, this is a joke.",neu,ang
"Once again, I'm really- I'm really sorry.",Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,xxx,ang
Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,Yes.,ang,neu
I know.,We flew in from Paris.  I've been shopping for three weeks.,neu,ang
"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,xxx,ang
I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,Okay. Calm-,ang,neu
"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",Do you understand who my husband is?,neu,ang
"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.","We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",ang,neu
"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",Oh-Oh.  It's a gift.  You're-You're helping me out here?,neu,ang
Oh-Oh.  It's a gift.  You're-You're helping me out here?,It's a gift.,ang,neu
"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",You are cruising for a bruising.  You are in so much trouble.,neu,ang
You are cruising for a bruising.  You are in so much trouble.,With the amount of--,ang,neu
With the amount of--,Who's in charge?  Who is the president of Jet Blue?,neu,ang
Who's in charge?  Who is the president of Jet Blue?,"Um, actually, I don't know. I don't know. Oh really?",ang,neu
"Um, actually, I don't know. I don't know. Oh really?",Because I probably know him.,neu,ang
Yeah.,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,ang,neu
Well then maybe you can just call him and he can give you more money.  But right now all I can do--,"I don't want money, I want my clothes.",neu,ang
"I don't want money, I want my clothes.","Right now all I can do is just give you this fifty dollars, I'm really sorry.",ang,neu
"Right now all I can do is just give you this fifty dollars, I'm really sorry.",What's your name?,neu,ang
What's your name?,Oh.  My name is Sean. Hi.,ang,neu
Sean.  Great. Do you have a badge number or something?,"Badge number?  Uh, no.  You can just take my employee number I guess.",xxx,sur
"Badge number?  Uh, no.  You can just take my employee number I guess.",Okay.  I'll do that.,sur,ang
Okay.  I'll do that.,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,ang,sur
Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,I don't think you have done everything you could do because I don't have my bag here yet.,sur,ang
I don't think you have done everything you could do because I don't have my bag here yet.,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",ang,neu
"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",A letter? I'll make a personal phone call.,neu,ang
A letter? I'll make a personal phone call.,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",ang,neu
It's okay.,Is there anything I can get you?  Do you want me to take care of anything for you or...?,xxx,neu
"No, no, no.",...pick up anything?,xxx,neu
...pick up anything?,No.,neu,sad
No.,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad,sad
You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,That's sweet.,sad,neu
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",Hmm.,sad,neu
Hmm.,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,neu,sad
"this woman came up and, you know, it was hers. It was her person that was there.",Oh.  She was there?,neu,neu
Oh.  She was there?,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",neu,sad
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",Mmhmm.,sad,neu
Mmhmm.,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",neu,sad
"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",Yeah.,sad,sad
Yeah.,I don't know.,sad,sad
I don't know.,How long were you there for?,sad,neu
How long were you there for?,At the cemetery?,neu,sad
At the cemetery?,Mmhmm.,sad,neu
Mmhmm.,couple hours.,neu,sad
"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",Oh really?,neu,neu
It was hot.[LIPSMACK],Is it a big cemetery?,xxx,neu
Is it a big cemetery?,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,neu,neu
Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,"Oh, so they're like really old too, really old ones?",neu,neu
"Oh, so they're like really old too, really old ones?",Yeah.,neu,neu
She used to have these poetry parties on Memorial Day.,Mmhmm.,sad,neu
Mmhmm.,Umm. Yeah.,neu,sad
"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",Mmhmm.,sad,neu
Mmhmm.,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",neu,sad
"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",So she wrote a lot of poetry?,sad,neu
So she wrote a lot of poetry?,"There's another one, I can't remember.",neu,neu
Did you get the letter?,"Yes.  There's a big envelope it says, you're in. I know.",hap,hap
"Yes.  There's a big envelope it says, you're in. I know.",Yeah. That is so awesome.,hap,hap
So I have to move back to the ghetto but...I know.,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",xxx,hap
"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.","I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",hap,hap
"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.","Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",hap,hap
"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?","Oh- I know, I know, I know, I know.",hap,hap
"I don't know.  I spend so much time commuting as it is, I'd rather.",This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,hap,hap
This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,I know. We should throw a party.,hap,hap
"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",A rapper party ho. Yeah. Okay.,xxx,hap
It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,Yeah.  Big time.,xxx,hap
Ooh. Fancy.,Yeah.  I'm not sure.,xxx,hap
Yeah.  I'm not sure.,Is this a Masters or a P.h.D.?  Or can you...? Nice,hap,neu
Is this a Masters or a P.h.D.?  Or can you...? Nice,Umm...P.h.D. [LAUGHTER],neu,hap
Umm...P.h.D. [LAUGHTER],"That's good.  Don't you have to like teach a class, too, when you do that?",hap,neu
"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.","Teacher. Mrs. Nash, I have a question.",xxx,hap
"Teacher. Mrs. Nash, I have a question.",So I get to mold young minds. Mrs.?  That's my mother.,hap,hap
So I get to mold young minds. Mrs.?  That's my mother.,You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,hap,hap
You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,"I would be like- Oh. Right, right, right.",hap,hap
"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.",Yay...School's fun.,xxx,hap
Yeah.  Totally. [LAUGHTER],That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,xxx,hap
That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",hap,hap
Next.,"Yes, me. Okay, okay here we go.",ang,fru
"Yes, me. Okay, okay here we go.",My window is open.,fru,ang
My window is open.,"Okay, so filled out all these forms  --",ang,fru
This is... Your last- Your first name is Jones?,and I have This form of ID here so...,xxx,fru
Well...,What are you... what's...What are you applying for?,xxx,fru
What are you... what's...What are you applying for?,I'm just applying for another ID.,fru,fru
Another ID?,"Yes.  I'm supposed to have three forms of ID for this.  It's a long story, I'm supposed to have three forms of ID for this other job I really don't get into but I need another...",xxx,fru
Fine.  So I need ID.,"I have it right here, yes.",xxx,fru
"I have it right here, yes.","No, I need your ID to give you a second ID.",fru,ang
It's really simple if you have a problem with it... Maybe you should--,But that's...,ang,fru
"Well, do you have your passport?","No, I don't have a passport.",xxx,neu
"No, I don't have a passport.",You have a birth certificate?,neu,fru
You have a birth certificate?,"I don't where it is though, I don't have with me.  Can I get it from somewhere?  I mean...",fru,fru
"I don't where it is though, I don't have with me.  Can I get it from somewhere?  I mean...",What do you expect me to do?,fru,ang
What do you expect me to do?,I probably have to go wait another line to get my birth certificate don't I?,ang,fru
I probably have to go wait another line to get my birth certificate don't I?,Probably.,fru,ang
Probably.,You're very helpful.  What's your name?,ang,fru
Hi.   You know...,So can you help me or not?,xxx,fru
So can you help me or not?,I am..I don't..I don't understand what you want.  A driver's license or a California ID.,fru,fru
I am..I don't..I don't understand what you want.  A driver's license or a California ID.,Okay. [BREATHING],fru,fru
Okay.,On top of these other two forms of ID which I already have.,xxx,fru
"What... well, do you have a driver's license?","No, I don't have driver's license.",xxx,fru
Then how am I supposed to give you a California ID?,Did you even look at the form?  I filled it out all these questions--,xxx,ang
Did you even look at the form?  I filled it out all these questions--,Don't raise your voice with me.,ang,ang
Did you even look at the form?  I've already answered these question.,Don't talk to me like I'm a child.,xxx,ang
Don't talk to me like I'm a child.,Okay.,ang,fru
Okay.,Do you know how long I've been working here? How long have you lived in California?,fru,ang
Do you know how long I've been working here? How long have you lived in California?,If it makes you stop acting like a child.,ang,fru
I have been to California my whole--,"Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one.",xxx,ang
"Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one.",I am not...I'm not getting to back that line.,ang,ang
I'm perfectly calm.,"I did not come in here to get in a yelling match with you, all right?",xxx,fru
"I did not come in here to get in a yelling match with you, all right?",Uh huh.  I didn't come here get in yelling match either.,fru,neu
Uh huh.  I didn't come here get in yelling match either.,Just try and help me.,neu,fru
Just try and help me.,They don't pay me enough to deal people like you.,fru,neu
Why?,Why?,xxx,ang
"So you're not going to send me a thank you card, is that a problem? Is your are not going...","Why, because I'm sick of talking to you.",xxx,ang
"Oh, dear. Oh, boo-foo-woo, foo-foo.","Oh, no honey. And you're going to miss the Christmas card too. It's a shame. It's going to be a good, nice picture.",xxx,fru
"Hey, Joy come in here.",What's happening?,neu,neu
What's happening?,I have to go back.,neu,sad
When?,First thing tomorrow morning.,xxx,sad
First thing tomorrow morning.,Are you kidding me?,sad,sur
"I don't understand, I don't underst--",How can they do that?,xxx,fru
They can do it.,They said you're home for at least four years.,xxx,fru
They said you're home for at least four years.,"I guess they can do it,",fru,fru
"The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back.",[BREATHING],sad,fru
"So yeah, we leave tomorrow...",[BREATHING],sad,fru
[BREATHING],...we're all shipping out.,fru,sad
I just got I feel like I'm in shock actually.,I don't even know what to tell you.,sad,sad
I don't even know what to tell you.,I don't know.,sad,sad
I don't know.,What about the birthday party?,sad,sad
What about the birthday party?,I guess you're just going to have to have it without me.,sad,sad
Me?  I'm not worried about me.,"I'm going to be fine too, okay?",xxx,sad
How do you know?,I know I have a good... I have a really good group of guys with me.,xxx,sad
We're going to be okay.,You're going with the same ones?,sad,sad
You're going with the same ones?,Do promise me you're going to take a lot of pictures.,sad,sad
"Always, I always do.",I know.,xxx,sad
I know.,It's not the same though.,sad,sad
It's not the same though.,I just wish there was something I could do.,sad,sad
We could hide away.,Run away?,xxx,sad
Run away?,Mm hmm.  We'll build a bunker and never come out.,sad,sad
Mm hmm.  We'll build a bunker and never come out.,"I really don't want to go, I don't want to go...",sad,sad
I'm scared.,Don't say that.,xxx,sad
I'll send you a letter every single day.,I love you.,xxx,sad
What?,This girl; she just offered me fifty thousand dollars to marry her.,xxx,hap
This girl; she just offered me fifty thousand dollars to marry her.,[BREATHING],hap,sur
Yeah.,Why?,xxx,hap
Why?,"Well, she's not a citizen so she wants to get a visa.",hap,neu
"Well, she's not a citizen so she wants to get a visa.",Is she on the run?,neu,hap
Is she on the run?,"No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years.",hap,hap
"No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years.","Oh, she just needs to marry you.",hap,hap
That's incredible. That's awesome. Where's she from?  Maybe you can get a dual citizenship.,That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome?,hap,hap
"She's actually from England, I think.  Well she- she spoke English but she had an accent. I didn't even ask.",That's so cool. Uh huh.,neu,hap
[LAUGHTER] Why did she pick you? Where were you?,"Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like...",hap,hap
"Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like...",You were at a party? And she's like hey. You seem unattached she's like.,hap,hap
You were at a party? And she's like hey. You seem unattached she's like.,"Yeah.  Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but...",hap,hap
"Yeah.  Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but...",That's unbelievable... Yeah.,hap,hap
"Oh, good. [LAUGHTER]","Yeah. Yeah. And then yeah, and then you know like you could like you could do like like sock her for a lot of money",hap,hap
